date,cpi_value
1914-04-01,12.869674
1915-07-01,13.924987
1916-07-01,15.031779
1917-07-01,16.498922
1918-07-01,18.53233
1919-01-01,19.626252
1919-07-01,20.243997
1920-01-01,21.955663
1920-07-01,23.358458
1921-01-01,23.873244
1921-07-01,22.933758
1922-01-01,21.234961
1922-07-01,20.462781
1923-01-01,20.218257
1923-07-01,20.385563
1924-01-01,20.861741
1924-07-01,20.617217
1925-01-01,20.539999
1925-07-01,20.990437
1925-10-01,21.054785
1926-01-01,20.90035
1926-04-01,20.990437
1926-07-01,21.016177
1926-10-01,20.926089
1927-01-01,20.88748
1927-04-01,20.810262
1927-07-01,20.720175
1927-10-01,20.733044
1928-01-01,20.733044
1928-04-01,20.861741
1928-07-01,20.758783
1928-10-01,20.861741
1929-01-01,20.745914
1929-04-01,20.707304
1929-07-01,20.762972
1929-10-01,20.762972
1930-01-01,20.618066
1930-04-01,20.493861
1930-07-01,20.286852
1930-10-01,19.934937
1931-01-01,19.29321
1931-04-01,18.899894
1931-07-01,18.444475
1931-10-01,18.382373
1932-01-01,18.113261
1932-04-01,17.368029
1932-07-01,16.995414
1932-10-01,16.684901
1933-01-01,16.498593
1933-04-01,16.477892
1933-07-01,16.477892
1933-10-01,16.560696
1934-01-01,16.643499
1934-04-01,16.809106
1934-07-01,16.705602
1934-10-01,16.767705
1935-01-01,17.098918
1935-04-01,17.285226
1935-07-01,17.347329
1935-10-01,17.699244
1936-01-01,17.388731
1936-04-01,17.719945
1936-07-01,18.009757
1936-10-01,18.278868
1937-01-01,18.589381
1937-04-01,19.0241
1937-07-01,19.189706
1937-10-01,19.603723
1938-01-01,19.52092
1938-04-01,19.686527
1938-07-01,19.707228
1938-10-01,19.727929
1939-01-01,20.059143
1939-04-01,20.348955
1939-07-01,20.597365
1939-10-01,21.239092
1940-01-01,20.969981
1940-04-01,21.301195
1940-07-01,21.570307
1940-10-01,21.818717
1941-01-01,21.860118
1941-04-01,22.12923
1941-07-01,22.212033
1941-10-01,22.646751
1942-01-01,22.35694
1942-04-01,22.708854
1942-07-01,23.143573
1942-10-01,23.536889
1943-01-01,23.247077
1943-04-01,23.309179
1943-07-01,23.55759
1943-10-01,23.868103
1944-01-01,23.661094
1944-04-01,23.785299
1944-07-01,23.950906
1944-10-01,24.220018
1945-01-01,24.075112
1945-04-01,24.095812
1945-07-01,24.220018
1945-10-01,24.530531
1946-01-01,24.302821
1946-04-01,24.344223
1946-07-01,24.530531
1946-10-01,24.489129
1947-01-01,24.385625
1947-04-01,24.551232
1947-07-01,24.965249
1947-10-01,26.973233
1948-01-01,26.849028
1948-04-01,27.159541
1948-07-01,27.345849
1948-10-01,27.407952
1949-01-01,27.407952
1949-04-01,27.462768
1949-07-01,27.791663
1949-10-01,27.901294
1950-01-01,27.956111
1950-04-01,28.833165
1950-07-01,29.792444
1950-10-01,30.285786
1951-01-01,30.724314
1951-04-01,32.039896
1951-07-01,33.081397
1951-10-01,33.903636
1952-01-01,34.342163
1952-04-01,34.808099
1952-07-01,35.19181
1952-10-01,35.465889
1953-01-01,35.822192
1953-04-01,36.233312
1953-07-01,36.644431
1953-10-01,37.439262
1954-01-01,37.74075
1954-04-01,38.371132
1954-07-01,38.425948
1954-10-01,38.343724
1955-01-01,38.864476
1955-04-01,39.248187
1955-07-01,39.303002
1955-10-01,39.303002
1956-01-01,39.702884
1956-04-01,40.251591
1956-07-01,41.113846
1956-10-01,41.113846
1957-01-01,40.800299
1957-04-01,41.3882
1957-07-01,41.662553
1957-10-01,41.85852
1958-01-01,41.897714
1958-04-01,42.32884
1958-07-01,44.288509
1958-10-01,44.562862
1959-01-01,44.64125
1959-04-01,44.75883
1959-07-01,45.22915
1959-10-01,45.072376
1960-01-01,44.876409
1960-04-01,44.954796
1960-07-01,45.34673
1960-10-01,45.777857
1961-01-01,45.58189
1961-04-01,45.58189
1961-07-01,46.287371
1961-10-01,46.757692
1962-01-01,46.914465
1962-04-01,47.071238
1962-07-01,47.423979
1962-10-01,47.737525
1963-01-01,47.776719
1963-04-01,47.972686
1963-07-01,48.325426
1963-10-01,48.795746
1964-01-01,48.991714
1964-04-01,49.42284
1964-07-01,50.167515
1964-10-01,50.990575
1965-01-01,51.108156
1965-04-01,51.186542
1965-07-01,51.85283
1965-10-01,52.20557
1966-01-01,52.558467
1966-04-01,52.867938
1966-07-01,53.177409
1966-10-01,53.435301
1967-01-01,54.776342
1967-04-01,56.272117
1967-07-01,56.891059
1967-10-01,56.942637
1968-01-01,57.510001
1968-04-01,58.283678
1968-07-01,58.954198
1968-10-01,59.831032
1969-01-01,60.656288
1969-04-01,61.326808
1969-07-01,61.94575
1969-10-01,62.203642
1970-01-01,63.544683
1970-04-01,64.524674
1970-07-01,65.710978
1970-10-01,68.393059
1971-01-01,70.095148
1971-04-01,71.642503
1971-07-01,73.035122
1971-10-01,74.634055
1972-01-01,76.026674
1972-04-01,76.955086
1972-07-01,77.780342
1972-10-01,78.708754
1973-01-01,80.565579
1973-04-01,82.783454
1973-07-01,84.691857
1973-10-01,86.703418
1974-01-01,88.869714
1974-04-01,91.03601
1974-07-01,94.440189
1974-10-01,97.586476
1975-01-01,100.611657
1975-04-01,104.612703
1975-07-01,108.418575
1975-10-01,112.907553
1976-01-01,117.884463
1976-04-01,123.154133
1976-07-01,127.057592
1976-10-01,130.570706
1977-01-01,133.986232
1977-04-01,140.42694
1977-07-01,145.40385
1977-10-01,150.575933
1978-01-01,153.587452
1978-04-01,157.653002
1978-07-01,161.567976
1978-10-01,165.784102
1979-01-01,169.548501
1979-04-01,177.227874
1979-07-01,186.111853
1979-10-01,193.188923
1980-01-01,200.717719
1980-04-01,208.999395
1980-07-01,216.528192
1980-10-01,224.35814
1981-01-01,231.313243
1981-04-01,240.511927
1981-07-01,249.934968
1981-10-01,259.582369
1982-01-01,267.88362
1982-04-01,281.345108
1982-07-01,291.441224
1982-10-01,299.293759
1983-01-01,301.761699
1983-04-01,304.678355
1983-07-01,307.146294
1983-10-01,310.06295
1984-01-01,312.233391
1984-04-01,319.054776
1984-07-01,328.666727
1984-10-01,339.208867
1985-01-01,354.091889
1985-04-01,372.07554
1985-07-01,382.307617
1985-10-01,390.98938
1986-01-01,399.981206
1986-04-01,410.833409
1986-07-01,424.476179
1986-10-01,462.303858
1987-01-01,473.156062
1987-04-01,488.659209
1987-07-01,496.410783
1987-10-01,506.642861
1988-01-01,515.634686
1988-04-01,519.665504
1988-07-01,524.316449
1988-10-01,530.517707
1989-01-01,536.353402
1989-04-01,542.719615
1989-07-01,561.818252
1989-10-01,568.714982
1990-01-01,574.020159
1990-04-01,584.099996
1990-07-01,589.935691
1990-10-01,596.301903
1991-01-01,600.015527
1991-04-01,600.546045
1991-07-01,602.668116
1991-10-01,602.137598
1992-01-01,604.790187
1992-04-01,606.38174
1992-07-01,608.50381
1992-10-01,610.095364
1993-01-01,610.625881
1993-04-01,614.339505
1993-07-01,617.522612
1993-10-01,618.583647
1994-01-01,618.583647
1994-04-01,621.057981
1994-07-01,628.480985
1994-10-01,635.903989
1995-01-01,643.326993
1995-04-01,649.51283
1995-07-01,650.749997
1995-10-01,654.461498
1996-01-01,657.554417
1996-04-01,662.503086
1996-07-01,666.214587
1996-10-01,671.163257
1997-01-01,669.307506
1997-04-01,669.92609
1997-07-01,673.019007
1997-10-01,676.73051
1998-01-01,677.967677
1998-04-01,681.060595
1998-07-01,684.772097
1998-10-01,679.204844
1999-01-01,677.349093
1999-04-01,678.58626
1999-07-01,681.300605
1999-10-01,682.657778
2000-01-01,687.407882
2000-04-01,692.157986
2000-07-01,701.658193
2000-10-01,709.801228
2001-01-01,708.444056
2001-04-01,714.551332
2001-07-01,718.62285
2001-10-01,722.694368
2002-01-01,726.765885
2002-04-01,734.230334
2002-07-01,737.623265
2002-10-01,742.373369
2003-01-01,745.087714
2003-04-01,745.087714
2003-07-01,748.480645
2003-10-01,753.909335
2004-01-01,756.62368
2004-04-01,762.730957
2004-07-01,767.48106
2004-10-01,774.266923
2005-01-01,777.659855
2005-04-01,784.445717
2005-07-01,793.267338
2005-10-01,798.696029
2006-01-01,803.446132
2006-04-01,815.660685
2006-07-01,821.37031
2006-10-01,819.738989
2007-01-01,823.817292
2007-04-01,831.973899
2007-07-01,836.052202
2007-10-01,845.840131
2008-01-01,851.549755
2008-04-01,865.415987
2008-07-01,878.466558
2008-10-01,874.388254
2009-01-01,876.835237
2009-04-01,881.729201
2009-07-01,893.14845
2009-10-01,891.517129
2010-01-01,894.779772
2010-04-01,896.411093
2010-07-01,906.199021
2010-10-01,927.406199
2011-01-01,934.747145
2011-04-01,943.719413
2011-07-01,947.797716
2011-10-01,944.535073
2012-01-01,949.429038
2012-04-01,952.69168
2012-07-01,955.138662
2012-10-01,953.507341
2013-01-01,957.585644
2013-04-01,959.216966
2013-07-01,968.189233
2013-10-01,969.004894
2014-01-01,972.267537
2014-04-01,974.714519
2014-07-01,977.977162
2014-10-01,976.34584
2015-01-01,974.714519
2015-04-01,978.792822
2015-07-01,982.055465
2015-10-01,977.161501
2016-01-01,978.792822
2016-04-01,982.871126
2016-07-01,986.133768
2016-10-01,990.212072
2017-01-01,1000.0
2017-04-01,1000.0
2017-07-01,1004.893964
2017-10-01,1006.0
2018-01-01,1011.0
2018-04-01,1015.0
2018-07-01,1024.0
2018-10-01,1025.0
2019-01-01,1026.0
2019-04-01,1032.0
2019-07-01,1039.0
2019-10-01,1044.0
2020-01-01,1052.0
2020-04-01,1047.0
2020-07-01,1054.0
2020-10-01,1059.0
2021-01-01,1068.0
2021-04-01,1082.0
2021-07-01,1106.0
2021-10-01,1122.0
2022-01-01,1142.0
2022-04-01,1161.0
2022-07-01,1186.0
2022-10-01,1203.0
2023-01-01,1218.0
2023-04-01,1231.0
2023-07-01,1253.0
2023-10-01,1259.0
2024-01-01,1267.0
2024-04-01,1272.0
2024-07-01,1280.0
2024-10-01,1287.0
2025-01-01,1299.0
2025-04-01,1306.0
