date,cpi_auckland,cpi_wellington,cpi_canterbury,cpi_unknown_col_4,cpi_unknown_col_5,cpi_unknown_col_6,cpi_unknown_col_7
2006-04-01,825.082508,822.368421,813.00813,819.672131,803.212851,803.858521,803.212851
2006-07-01,827.557756,828.125,819.512195,824.590164,811.24498,810.289389,810.441767
2006-10-01,825.907591,828.947368,817.886179,822.95082,811.24498,809.485531,810.441767
2007-01-01,830.858086,834.703947,821.95122,827.868852,813.654618,810.289389,812.048193
2007-04-01,836.633663,842.927632,831.707317,835.245902,820.883534,819.935691,820.080321
2007-07-01,843.234323,845.394737,834.95935,840.163934,824.096386,826.366559,824.899598
2007-10-01,852.310231,855.263158,845.528455,850.0,834.538153,833.601286,833.73494
2008-01-01,858.085809,860.197368,851.219512,855.737705,840.160643,841.639871,840.160643
2008-04-01,871.287129,872.532895,865.04065,868.852459,852.208835,856.913183,853.815261
2008-07-01,882.013201,883.223684,880.487805,881.967213,869.076305,869.77492,869.076305
2008-10-01,877.062706,881.578947,873.98374,877.04918,865.863454,868.167203,866.666667
2009-01-01,878.712871,883.223684,878.04878,878.688525,869.879518,869.77492,869.879518
2009-04-01,884.488449,887.335526,882.113821,884.42623,873.092369,876.205788,873.895582
2009-07-01,893.564356,898.026316,893.495935,894.262295,887.550201,889.871383,888.353414
2009-10-01,891.089109,897.203947,893.495935,893.442623,885.943775,888.263666,886.746988
2010-01-01,895.214521,900.493421,895.934959,895.901639,888.353414,891.4791,889.156627
2010-04-01,896.864686,902.138158,896.747967,897.540984,889.156627,894.694534,891.566265
2010-07-01,907.590759,909.539474,907.317073,908.196721,898.795181,907.55627,902.008032
2010-10-01,929.042904,930.921053,927.642276,928.688525,918.072289,927.652733,922.088353
2011-01-01,938.118812,941.611842,934.95935,936.885246,,933.279743,927.710843
2011-04-01,945.544554,950.657895,943.089431,945.081967,935.742972,945.337621,939.759036
2011-07-01,948.019802,952.302632,947.154472,948.360656,940.562249,951.768489,945.381526
2011-10-01,946.369637,949.835526,943.089431,945.081967,939.759036,946.141479,942.168675
2012-01-01,949.669967,954.769737,947.154472,950.0,945.381526,951.768489,948.594378
2012-04-01,952.970297,958.059211,949.593496,952.459016,949.39759,954.983923,951.807229
2012-07-01,953.79538,960.526316,953.658537,954.918033,955.02008,959.003215,956.626506
2012-10-01,952.145215,959.703947,951.219512,952.459016,955.823293,959.003215,956.626506
2013-01-01,955.445545,962.993421,955.284553,956.557377,960.64257,962.21865,960.64257
2013-04-01,957.09571,962.171053,956.910569,958.196721,963.855422,963.022508,963.052209
2013-07-01,964.521452,972.861842,965.04065,966.393443,976.706827,971.864952,974.297189
2013-10-01,966.171617,973.684211,965.04065,967.213115,978.313253,973.472669,975.903614
2014-01-01,969.471947,976.151316,968.292683,969.672131,981.526104,975.884244,979.116466
2014-04-01,971.122112,981.907895,969.918699,972.131148,987.148594,980.707395,983.935743
2014-07-01,974.422442,983.552632,973.170732,975.409836,991.967871,983.92283,987.951807
2014-10-01,971.947195,981.907895,971.544715,973.770492,990.361446,980.707395,985.542169
2015-01-01,969.471947,979.440789,971.544715,971.311475,988.75502,979.903537,984.738956
2015-04-01,976.072607,982.730263,973.98374,976.229508,989.558233,983.118971,986.345382
2015-07-01,981.023102,982.730263,976.422764,979.508197,992.771084,984.726688,988.75502
2015-10-01,976.89769,979.440789,972.357724,975.409836,987.148594,978.29582,983.13253
2016-01-01,975.247525,981.085526,976.422764,977.04918,988.75502,981.511254,985.542169
2016-04-01,980.19802,986.019737,979.674797,981.147541,991.164659,986.334405,988.75502
2016-07-01,984.323432,987.664474,983.739837,984.42623,992.771084,988.745981,990.361446
2016-10-01,988.448845,995.065789,986.178862,988.52459,999.196787,992.765273,995.983936
2017-01-01,998.349835,1002.467105,996.747967,998.360656,1007.228916,1001.607717,1004.016064
2017-04-01,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2017-07-01,1004.125413,1004.934211,1006.504065,1004.918033,1002.409639,1007.234727,1004.016064
2017-10-01,1005.0,1008.0,1006.0,1006.0,1005.0,1009.0,1007.0
2018-01-01,1011.0,1014.0,1013.0,1012.0,1008.0,1012.0,1010.0
2018-04-01,1013.0,1017.0,1015.0,1014.0,1015.0,1017.0,1016.0
2018-07-01,1022.0,1024.0,1025.0,1023.0,1022.0,1028.0,1025.0
2018-10-01,1023.0,1023.0,1028.0,1025.0,1023.0,1029.0,1026.0
2019-01-01,1023.0,1027.0,1029.0,1026.0,1025.0,1030.0,1027.0
2019-04-01,1029.0,1031.0,1034.0,1031.0,1029.0,1037.0,1033.0
2019-07-01,1035.0,1037.0,1043.0,1038.0,1034.0,1046.0,1039.0
2019-10-01,1043.0,1045.0,1049.0,1046.0,1034.0,1046.0,1039.0
2020-01-01,1051.0,1052.0,1060.0,1054.0,1041.0,1055.0,1047.0
2020-04-01,1046.0,1042.0,1057.0,1049.0,1034.0,1049.0,1041.0
2020-07-01,1052.0,1055.0,1063.0,1057.0,1042.0,1056.0,1048.0
2020-10-01,1055.0,1061.0,1070.0,1062.0,1049.0,1063.0,1055.0
2021-01-01,1064.0,1068.0,1081.0,1071.0,1054.0,1073.0,1062.0
2021-04-01,1078.0,1083.0,1098.0,1086.0,1069.0,1085.0,1076.0
2021-07-01,1100.0,1106.0,1123.0,1109.0,1092.0,1111.0,1101.0
2021-10-01,1115.0,1119.0,1142.0,1126.0,1108.0,1124.0,1115.0
2022-01-01,1137.0,1135.0,1163.0,1147.0,1126.0,1147.0,1135.0
2022-04-01,1154.0,1152.0,1185.0,1165.0,1144.0,1165.0,1153.0
2022-07-01,1177.0,1177.0,1209.0,1190.0,1170.0,1190.0,1179.0
2022-10-01,1196.0,1189.0,1226.0,1206.0,1188.0,1209.0,1197.0
2023-01-01,1211.0,1205.0,1241.0,1221.0,1204.0,1226.0,1214.0
2023-04-01,1223.0,1217.0,1256.0,1235.0,1214.0,1241.0,1226.0
2023-07-01,1244.0,1238.0,1280.0,1257.0,1232.0,1264.0,1246.0
2023-10-01,1250.0,1242.0,1287.0,1263.0,1239.0,1273.0,1254.0
2024-01-01,1258.0,1247.0,1295.0,1270.0,1249.0,1284.0,1264.0
2024-04-01,1263.0,1255.0,1299.0,1275.0,1251.0,1286.0,1266.0
2024-07-01,1267.0,1267.0,1313.0,1284.0,1257.0,1296.0,1274.0
2024-10-01,1270.0,1272.0,1321.0,1290.0,1267.0,1306.0,1284.0
2025-01-01,1282.0,1282.0,1334.0,1302.0,1279.0,1320.0,1297.0
2025-04-01,1288.0,1286.0,1343.0,1309.0,1283.0,1332.0,1304.0
