date,lci_value
1992-10-01,699.615771
1993-01-01,701.714618
1993-04-01,703.813466
1993-07-01,705.212697
1993-10-01,706.611929
1994-01-01,708.710776
1994-04-01,710.110008
1994-07-01,713.608086
1994-10-01,715.007318
1995-01-01,717.805781
1995-04-01,719.904628
1995-07-01,724.102323
1995-10-01,728.300018
1996-01-01,731.798096
1996-04-01,733.896944
1996-07-01,738.094638
1996-10-01,742.991949
1997-01-01,747.889259
1997-04-01,752.086954
1997-07-01,755.585033
1997-10-01,759.083112
1998-01-01,761.881575
1998-04-01,766.778885
1998-07-01,769.577348
1998-10-01,772.375811
1999-01-01,775.174274
1999-04-01,777.273122
1999-07-01,780.7712
1999-10-01,783.569664
2000-01-01,786.368127
2000-04-01,789.866205
2000-07-01,792.664669
2000-10-01,796.162747
2001-01-01,800.360442
2001-04-01,803.858521
2001-07-01,808.755831
2001-10-01,812.953526
2002-01-01,816.720257
2002-04-01,820.73955
2002-07-01,826.366559
2002-10-01,830.385852
2003-01-01,835.209003
2003-04-01,839.228296
2003-07-01,845.659164
2003-10-01,850.482315
2004-01-01,853.697749
2004-04-01,858.5209
2004-07-01,864.14791
2004-10-01,871.382637
2005-01-01,875.401929
2005-04-01,881.832797
2005-07-01,890.675241
2005-10-01,897.909968
2006-01-01,903.536977
2006-04-01,909.163987
2006-07-01,918.810289
2006-10-01,926.848875
2007-01-01,932.475884
2007-04-01,938.906752
2007-07-01,946.945338
2007-10-01,957.395498
2008-01-01,964.630225
2008-04-01,972.66881
2008-07-01,984.726688
2008-10-01,991.157556
2009-01-01,996.784566
2009-04-01,1000.0
2009-07-01,1005.0
2009-10-01,1009.0
2010-01-01,1012.0
2010-04-01,1016.0
2010-07-01,1021.0
2010-10-01,1026.0
2011-01-01,1031.0
2011-04-01,1035.0
2011-07-01,1041.0
2011-10-01,1047.0
2012-01-01,1052.0
2012-04-01,1056.0
2012-07-01,1061.0
2012-10-01,1066.0
2013-01-01,1070.0
2013-04-01,1074.0
2013-07-01,1079.0
2013-10-01,1083.0
2014-01-01,1087.0
2014-04-01,1092.0
2014-07-01,1096.0
2014-10-01,1102.0
2015-01-01,1105.0
2015-04-01,1110.0
2015-07-01,1114.0
2015-10-01,1119.0
2016-01-01,1123.0
2016-04-01,1127.0
2016-07-01,1132.0
2016-10-01,1137.0
2017-01-01,1141.0
2017-04-01,1146.0
2017-07-01,1153.0
2017-10-01,1158.0
2018-01-01,1162.0
2018-04-01,1168.0
2018-07-01,1174.0
2018-10-01,1180.0
2019-01-01,1185.0
2019-04-01,1193.0
2019-07-01,1202.0
2019-10-01,1211.0
2020-01-01,1215.0
2020-04-01,1218.0
2020-07-01,1225.0
2020-10-01,1230.0
2021-01-01,1235.0
2021-04-01,1244.0
2021-07-01,1254.0
2021-10-01,1262.0
2022-01-01,1272.0
2022-04-01,1286.0
2022-07-01,1300.0
2022-10-01,1314.0
2023-01-01,1327.0
2023-04-01,1341.0
2023-07-01,1356.0
2023-10-01,1370.0
2024-01-01,1382.0
2024-04-01,1398.0
2024-07-01,1407.0
2024-10-01,1415.0
2025-01-01,1422.0
2025-04-01,1431.0
